Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
CENTUM,Electronics - EMS,SmallCap,2033.62,1853.01,21.63,59.88
CEWATER,Waste Management,SmallCap,541.48,441.82,26.05,57.91
CHOLAFIN,Financials - NBFC,LargeCap,1502.41,1415.36,20.54,57.31
CIGNITITEC,IT - Services,SmallCap,1570.85,1475.97,25.24,62.52
COCHINSHIP,Defense - Ship,MidCap,1813.21,1643.71,33.77,57.2
COFORGE,IT - Enterprise,MidCap,1690.42,1562.59,25.62,61.17
COROMANDEL,Agrochem - Fertilizers,MidCap,2175.16,1934.6,32.13,61.39
COSMOFIRST,Packaging - Flex,SmallCap,919.72,822.56,33.79,65.32
CRISIL,Financials - Ratings,MidCap,5228.6,4979.5,25.72,69.2
CUB,Financials - Private Bank,SmallCap,187.52,175.21,25.93,65.13
DALBHARAT,Infra - Cement,MidCap,1998.75,1927.65,21.96,62.29
DATAPATTNS,Defense - Technology & Electronics,SmallCap,2530.43,2406.74,35.66,60.38
DBREALTY,Real Estate,SmallCap,195.63,184.76,27.06,64.71
DCBBANK,Financials - Private Bank,SmallCap,133.92,127.81,24.02,61.85
DCMSHRIRAM,Agri - Sugar,SmallCap,1127.77,1086.76,22.49,69.86
DECCANCE,Infra - Cement,SmallCap,782.55,724.21,20.16,60.5
DEEPAKFERT,Chemicals - Diversified,SmallCap,1386.64,1202.7,24.78,64.36
DHANUKA,Agrochem - Pesticides,SmallCap,1526.52,1453.42,21.98,57.1
DIVISLAB,Healthcare - API/Drug,LargeCap,6279.65,5774.67,24.89,67.48
DODLA,Consumption - Dairy,SmallCap,1243.11,1164.45,23.18,65.05
DRREDDY,Healthcare - Formulations,LargeCap,1235.49,1231.91,20.32,59.69
DYCL,Power - Wiring,SmallCap,396.72,358.57,31.3,65.76
ECLERX,IT - Services,SmallCap,3179.95,2994.14,25.08,59.44
EDELWEISS,Financials - Diversified,SmallCap,101.78,98.17,20.46,59.82
EIMCOELECO,Industial Products - Material Handling/Mining,SmallCap,2178.32,2090.11,34.18,59.12
ELECON,Electronics - Components,SmallCap,596.01,568.64,24.2,54.3
ELECTHERM,Metals - Iron & Steel,SmallCap,1058.22,954.92,20.86,53.61
EMCURE,Healthcare - Formulations,SmallCap,1203.2,1088.92,25.23,57.72
ENDURANCE,Auto - Electricals & Batteries,MidCap,2311.8,2212.71,30.2,64.61
ENGINERSIN,Infra - Consulting,SmallCap,193.38,191.45,23.48,64.17
EPL,Packaging - Misc,SmallCap,228.15,226.26,20.75,53.4
ERIS,Healthcare - Formulations,SmallCap,1527.58,1376.24,30.96,63.37
FACT,Agrochem - Fertilizers,SmallCap,875.88,844.68,23.6,54.35
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,527.53,480.74,32.45,67.01
FIEMIND,Auto - Lighting & Electronics,SmallCap,1661.08,1523.97,26.26,67.69
FORTIS,Healthcare - Hospitals,MidCap,685.15,625.73,31.82,63.84
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,4128.92,4033.39,30.58,62.4
GENUSPOWER,Electronics - Automation,SmallCap,341.07,334.21,21.4,54.67
GILLETTE,Consumption - Personal,SmallCap,9304.23,8709.48,31.64,68.13
GLAXO,Healthcare - Formulations - OTC,MidCap,2986.47,2710.65,34.42,59.79
GMBREW,Beverages - Alcohol,SmallCap,713.68,709.61,20.92,55.06
GMDCLTD,Mining - Coal/Minerals,SmallCap,350.37,340.24,29.97,57.35
GODFRYPHLP,Consumption - Cigarettes,SmallCap,7675.1,6506.34,41.75,59.89
GOKULAGRO,Agri - Edible Oils,SmallCap,273.73,256.91,25.19,61.49
GOODLUCK,Metals - Pipe & Tube,SmallCap,925.45,893.69,25.8,66.75
GREENPLY,Infra - Laminates,SmallCap,301.74,299.63,22.48,53.16
GVT&D,Power - Equipment,MidCap,1969.27,1728.54,32.25,69.75
HAL,Defense - Mfg,LargeCap,4593.27,4298.24,23.61,59.15
HCG,Healthcare - Hospitals,SmallCap,541.89,498.12,36.62,55.77
HDFCAMC,Financials - AMC,MidCap,4608.02,4288.19,21.22,67.09
HDFCBANK,Financials - Private Bank,LargeCap,1893.37,1796.3,37.99,63.28
HDFCLIFE,Financials - Life,LargeCap,730.98,693.86,31.87,58.0
HERITGFOOD,Consumption - Dairy,SmallCap,441.19,438.6,25.26,56.27
HEUBACHIND,Chemicals - Dyes,SmallCap,578.5,554.15,45.37,57.48
HIRECT,Electronics - Automation,SmallCap,1151.05,1044.51,21.02,64.13
HOMEFIRST,Financials - Housing,SmallCap,1216.32,1124.46,28.93,63.16
HPL,Power - Wiring,SmallCap,484.22,467.48,23.38,56.94
ICICIBANK,Financials - Private Bank,LargeCap,1370.25,1291.34,21.52,60.54
ICRA,Financials - Ratings,SmallCap,6308.14,6138.73,24.67,64.01
IFCI,Financials - Institute - Infra,SmallCap,55.51,53.78,23.7,56.09
IIFLCAPS,Financials - Broking,SmallCap,290.3,267.24,25.39,61.39
IKS,IT - Platform - Healthcare/Pharma,SmallCap,1522.11,1210.09,28.42,56.13
IMFA,Metals - Ferro Alloys,SmallCap,695.68,688.2,20.36,56.21
INDOTHAI,Financials - Broking,SmallCap,1787.48,1427.22,36.67,57.74
INSECTICID,Agrochem - Pesticides,SmallCap,738.46,707.88,23.61,69.62
INTELLECT,IT - Software/Consulting,SmallCap,926.65,881.16,24.64,62.59
INTERARCH,Infra - Construction,SmallCap,1914.73,1638.41,24.49,63.51
ITI,Telecom - Equipments,SmallCap,299.19,291.66,23.98,53.87
J&KBANK,Financials - Private Bank,SmallCap,102.79,102.74,21.78,55.53
JIOFIN,Financials - NBFC,LargeCap,283.43,282.07,27.76,68.35
JSWHL,Financials - Holding/Investing,SmallCap,21468.65,17609.0,43.49,54.33
KERNEX,Railways,SmallCap,1043.38,938.55,21.97,57.38
KFINTECH,IT - Platform - Exchange/RTA,SmallCap,1119.45,1037.6,20.19,59.4
KIRIINDUS,Chemicals - Dyes,SmallCap,597.28,534.23,21.22,50.04
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,1919.12,1816.98,20.58,61.58
KIRLPNU,Industrial - Pumps/Engines,SmallCap,1288.3,1276.32,26.18,58.87
KITEX,Textiles - Exports,SmallCap,249.92,208.97,37.09,62.38
KOLTEPATIL,Real Estate,SmallCap,395.47,384.42,24.91,63.89
KOTAKBANK,Financials - Private Bank,LargeCap,2088.75,1980.33,25.33,63.9
KPRMILL,Textiles - Mfg (Spin/Yarn/Integrated),MidCap,1077.89,993.71,42.17,62.65
KRBL,Agri - Rice,SmallCap,334.02,316.7,22.31,65.49
KRISHANA,Agrochem - Fertilizers,SmallCap,360.01,297.15,43.48,68.32
KSB,Industrial - Pumps/Engines,SmallCap,790.68,779.97,22.63,63.76
LLOYDSME,Metals - Iron & Steel,MidCap,1347.49,1163.22,20.17,62.44
MAHSCOOTER,Financials - Holding/Investing,SmallCap,12470.73,10988.88,34.24,67.33
MAHSEAMLES,Metals - Pipe & Tube,SmallCap,689.06,684.02,20.14,51.37
MAITHANALL,Metals - Ferro Alloys,SmallCap,1066.12,1054.64,28.3,57.18
MANAPPURAM,Financials - NBFC,SmallCap,240.0,215.66,30.1,64.28
MANINDS,Metals - Pipe & Tube,SmallCap,320.54,319.26,21.84,61.63
MANORAMA,Consumption - Foods/Drinks,SmallCap,1215.66,1038.27,26.83,62.87
MARICO,Agri - Edible Oils,MidCap,694.21,663.44,25.04,60.29
MAXHEALTH,Healthcare - Hospitals,MidCap,1155.6,1061.51,28.4,57.23
MAZDOCK,Defense - Ship,MidCap,2873.88,2448.08,26.11,64.49
MCX,IT - Platform - Exchange/RTA,SmallCap,6870.1,5968.93,24.12,64.1
MEDPLUS,IT - Platform - Healthcare/Pharma,SmallCap,840.9,793.3,22.09,56.47
MIDHANI,Defense - Mfg,SmallCap,374.12,363.02,32.53,60.4
MOL,Agrochem - Pesticides,SmallCap,84.44,83.8,25.55,65.03
MOSCHIP,IT - Hardware,SmallCap,160.05,126.91,20.73,59.09
MOTILALOFS,Financials - Broking,MidCap,742.64,703.39,24.36,58.0
MRF,Auto - Tyres,MidCap,128900.46,125902.06,27.87,57.96
MUTHOOTFIN,Financials - NBFC,MidCap,2250.99,2077.29,26.69,68.05
NAM-INDIA,Financials - AMC,MidCap,699.58,652.31,29.04,66.48
NAVA,Power - Misc,SmallCap,512.74,462.45,20.36,63.71
NAZARA,IT - Gaming/Entertainment,SmallCap,1167.93,1044.56,33.05,67.04
NBCC,Infra - Construction,SmallCap,103.0,96.84,28.0,60.8
NDRAUTO,Auto - Drivetrain,SmallCap,879.94,757.46,27.02,66.9
NELCAST,Metals - Casting/Forging,SmallCap,121.37,120.73,31.96,60.73
NH,Healthcare - Hospitals,SmallCap,1776.64,1564.48,39.12,64.65
NIBE,Defense - Mfg,SmallCap,1269.69,847.2,37.67,67.51
NUVAMA,Financials - WMC,SmallCap,6710.56,6165.07,21.2,56.86
OBEROIRLTY,Real Estate,MidCap,1780.4,1749.79,21.05,53.9
ONESOURCE,Healthcare - Formulations,SmallCap,1645.66,1112.63,42.75,69.26
OPTIEMUS,Telecom - Equipments,SmallCap,573.92,544.86,20.95,53.8
OSWALAGRO,Financials - Misc,SmallCap,81.84,72.13,35.91,53.93
PAGEIND,Textiles - Innerwear,MidCap,45837.25,44144.34,21.32,58.64
PARADEEP,Agrochem - Fertilizers,SmallCap,143.1,120.68,39.19,68.62
PARAGMILK,Consumption - Dairy,SmallCap,201.65,193.9,22.51,67.52
PAYTM,IT - Fintech,MidCap,862.2,793.1,23.13,61.01
PFIZER,Healthcare - Formulations,SmallCap,5060.37,4892.72,27.35,61.08
PFOCUS,Media - Entertainment,SmallCap,120.31,117.73,32.06,67.0
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,5500.41,5344.83,23.98,58.84
PGIL,Textiles - Exports,SmallCap,1332.14,1186.2,22.52,58.71
PILANIINVS,Financials - Holding/Investing,SmallCap,4882.07,4711.87,20.81,57.31
PNBHOUSING,Financials - Housing,SmallCap,1008.61,935.83,28.66,59.62
POLICYBZR,IT - Fintech,MidCap,1719.62,1620.35,22.02,60.85
POONAWALLA,Financials - NBFC,SmallCap,373.69,369.66,26.5,65.86
POWERINDIA,Power - Equipment,MidCap,16192.49,13896.09,27.01,63.45
PRECWIRE,Metals - Copper,SmallCap,167.26,160.34,23.88,62.11
PREMEXPLN,Defense - Explosives,SmallCap,483.96,461.99,24.78,66.04
PRESTIGE,Real Estate,MidCap,1439.34,1433.62,26.22,63.63
PRIVISCL,Chemicals - Specialty - FMCG,SmallCap,2017.6,1787.75,24.28,69.97
PSPPROJECT,Infra - Residential & Commercial Buildings,SmallCap,682.13,670.08,28.92,69.96
PUNJABCHEM,Agrochem - Pesticides,SmallCap,1083.2,1065.47,28.55,58.68
RACLGEAR,Auto - Drivetrain,SmallCap,855.12,736.16,32.24,63.01
RADICO,Beverages - Alcohol,SmallCap,2485.73,2282.63,24.55,65.38
RAILTEL,Railways,SmallCap,379.85,375.7,24.63,56.96
RAMCOCEM,Infra - Cement,SmallCap,991.23,938.91,26.43,68.94
RAMRAT,Power - Wiring,SmallCap,608.27,554.27,26.96,59.19
REDINGTON,IT - Hardware,SmallCap,266.56,238.17,24.52,61.8
REFEX,Chemicals - Misc,SmallCap,435.08,394.64,23.04,53.13
RELIANCE,Refineries & Marketing,LargeCap,1395.69,1363.34,23.09,62.75
RELINFRA,Power - Integrated Utility,SmallCap,317.18,280.84,21.47,63.07
RML,Auto - Drivetrain,SmallCap,824.09,821.81,26.16,57.43
RPOWER,Power - Generation,SmallCap,52.58,44.17,29.88,66.29
SAGCEM,Infra - Cement,SmallCap,222.69,220.18,21.02,61.27
SAILIFE,Healthcare - CRAMS/CDMO,SmallCap,706.34,547.44,60.2,64.38
SAPPHIRE,Leisure - Restaurants,SmallCap,321.78,317.52,21.86,53.16
SBICARD,Financials - NBFC,MidCap,894.6,835.2,20.98,54.57
SBILIFE,Financials - Life,LargeCap,1703.05,1620.84,21.54,63.72
SCHAEFFLER,Auto - Drivetrain,MidCap,3771.87,3641.25,22.62,60.51
SEQUENT,Healthcare - Animals,SmallCap,173.8,164.61,23.02,55.86
SERVOTECH,Electronics - Components,SmallCap,136.89,133.5,21.46,51.8
SHAILY,Industrial Products - Plastic,SmallCap,1648.06,1415.48,33.23,50.3
SHAKTIPUMP,Industrial - Pumps/Engines,SmallCap,912.04,814.6,23.24,55.06
SHARDACROP,Agrochem - Pesticides,SmallCap,700.24,637.36,29.68,62.05
SHARDAMOTR,Auto - Electricals & Electronics,SmallCap,920.52,907.79,20.96,63.44
SHILPAMED,Healthcare - CRAMS/CDMO,SmallCap,767.12,715.92,26.25,57.4
SHREEPUSHK,Chemicals - Dyes,SmallCap,300.68,279.69,26.4,62.29
SHRIPISTON,Auto - Drivetrain,SmallCap,2144.76,2015.88,25.63,61.86
SHRIRAMFIN,Financials - NBFC,LargeCap,648.56,611.08,27.65,54.29
SJS,Auto - Wheels ,SmallCap,1094.36,1008.17,30.39,62.58
SMCGLOBAL,Financials - Broking,SmallCap,129.91,129.62,25.07,65.24
SOLARINDS,Defense - Explosives,MidCap,14068.01,12000.9,39.55,63.44
SPAL,Textiles - Exports,SmallCap,802.89,789.43,20.22,51.83
SPLPETRO,Chemicals - Petro,SmallCap,725.36,701.27,21.22,62.07
SPORTKING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,105.2,101.47,24.39,58.35
SSWL,Auto - Wheels ,SmallCap,227.64,218.28,37.37,60.34
STEELCAS,Metals - Casting/Forging,SmallCap,951.96,861.54,22.3,68.89
SUNDARMFIN,Financials - NBFC,MidCap,4934.87,4694.72,27.95,52.65
SURYAROSNI,Metals - Pipe & Tube,SmallCap,302.85,292.69,24.72,59.87
SUVEN,Healthcare - CRAMS/CDMO,SmallCap,168.7,144.13,32.75,67.01
SUZLON,Power - Green Equipment,MidCap,61.81,59.02,20.09,55.69
SWARAJENG,Industrial - Pumps/Engines,SmallCap,3743.15,3357.67,24.21,62.59
TARC,Real Estate,SmallCap,170.31,169.0,24.25,64.24
TECHNOE,Industial Products - Power Transmission & Distribution,SmallCap,1332.59,1268.09,24.23,65.67
THYROCARE,Healthcare - Diagnostics,SmallCap,889.31,830.14,23.47,63.36
TI,Beverages - Alcohol,SmallCap,319.66,303.41,22.75,57.84
TIL,Industial Products - Material Handling/Mining,SmallCap,307.73,278.33,27.13,67.04
TVSHLTD,Auto - Electricals & Batteries,SmallCap,10437.72,10284.02,24.69,59.19
UFLEX,Packaging - Flex,SmallCap,570.78,552.42,21.09,56.36
UNIMECH,Defense - Mfg,SmallCap,1091.96,814.56,34.78,61.33
UNIVCABLES,Power - Wiring,SmallCap,624.31,608.66,23.93,67.44
UNOMINDA,Auto - Electricals & Batteries,MidCap,1003.04,962.59,21.33,57.73
UTIAMC,Financials - AMC,SmallCap,1174.9,1124.24,21.61,69.13
V2RETAIL,Consumption - Retail,SmallCap,1767.38,1506.0,35.2,60.88
VADILALIND,Consumption - Dairy,SmallCap,5323.22,4769.63,26.23,50.64
VALIANTORG,Chemicals - Specialty - Diversified,SmallCap,375.14,370.67,34.4,55.67
VESUVIUS,Metals - Foundry Support,SmallCap,505.19,478.08,20.6,61.12
VHL,Financials - NBFC,SmallCap,3856.31,3800.88,27.78,55.84
VINATIORGA,Chemicals - Specialty - Pharma,SmallCap,1795.63,1781.28,23.28,61.92
VMART,Consumption - Retail,SmallCap,3366.22,3279.48,21.06,56.89
VRLLOG,Transport - Logistics,SmallCap,538.26,537.7,27.56,65.72
VSSL,Metals - Iron & Steel,SmallCap,247.11,244.93,29.76,55.84
VTL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,474.8,465.48,20.84,55.32
WAAREEENER,Power - Green Equipment,MidCap,2669.88,2159.46,33.37,65.15
WEALTH,Financials - WMC,SmallCap,1088.06,1071.0,28.16,51.47
WHEELS,Auto - Wheels ,SmallCap,723.44,707.34,21.26,61.84
WINDMACHIN,Industial Products - Machinery,SmallCap,340.96,289.25,29.18,56.6
WOCKPHARMA,Healthcare - Formulations,SmallCap,1425.79,1234.79,22.42,64.89
YUKEN,Industrial - Pumps/Engines,SmallCap,1003.95,992.73,27.7,59.54
ZENTEC,Defense - Technology & Electronics,SmallCap,1768.51,1638.16,22.81,54.29
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,1883.98,1857.45,21.28,62.3
